campaign_id,campaign_name,start_date,end_date,city,channel,category,discount_pct,promo_budget_aed
CAMP-001,Dubai Electronics Flash Sale,2024-12-01,2024-12-07,Dubai,All,Electronics,20,75000
CAMP-002,App Exclusive - Fashion Week,2024-12-05,2024-12-12,All,App,Fashion,25,50000
CAMP-003,Abu Dhabi Grocery Savings,2024-12-10,2024-12-17,Abu Dhabi,All,Grocery,10,30000
CAMP-004,Marketplace Beauty Bonanza,2024-12-08,2024-12-14,All,Marketplace,Beauty,30,45000
CAMP-005,Sharjah Home & Living,2024-12-15,2024-12-22,Sharjah,Web,Home,15,40000
CAMP-006,UAE National Day Sports Sale,2024-12-02,2024-12-03,All,All,Sports,40,100000
CAMP-007,Web Wednesday - All Categories,2024-12-11,2024-12-11,All,Web,All,12,25000
CAMP-008,Dubai Mall Exclusive,2024-12-20,2024-12-31,Dubai,All,All,18,150000
CAMP-009,New Year Electronics Clearance,2024-12-28,2025-01-03,All,All,Electronics,35,200000
CAMP-010,Low Budget Test Campaign,2024-12-15,2024-12-21,Sharjah,App,Grocery,5,10000
